pv_datetime,post_code,last_postcode_pvs,pvs,load_date
2021-01-31 22:00:00.000000,msld,0,15,2021-02-01 09:19:57.000000
2021-01-30 19:00:00.000000,sdxj,0,7,2021-02-01 09:19:57.000000
2021-01-26 22:00:00.000000,blxc,0,9,2021-02-01 09:19:57.000000
2021-01-24 19:00:00.000000,ilgj,0,13,2021-02-01 09:19:57.000000
2021-01-21 22:00:00.000000,pvte,0,11,2021-02-01 09:19:57.000000
2021-01-21 21:00:00.000000,qcdl,0,8,2021-02-01 09:19:57.000000
2021-01-31 21:00:00.000000,zjuj,0,5,2021-02-01 09:19:57.000000
2021-01-30 20:00:00.000000,sjkz,0,14,2021-02-01 09:19:57.000000
2021-01-29 21:00:00.000000,axdh,0,5,2021-02-01 09:19:57.000000
2021-01-28 20:00:00.000000,mmhn,0,12,2021-02-01 09:19:57.000000
2021-01-27 22:00:00.000000,rttb,0,10,2021-02-01 09:19:57.000000
2021-01-26 23:00:00.000000,jbif,0,8,2021-02-01 09:19:57.000000
2021-01-25 19:00:00.000000,dsqy,0,7,2021-02-01 09:19:57.000000
2021-01-24 21:00:00.000000,hisu,0,7,2021-02-01 09:19:57.000000
2021-01-23 23:00:00.000000,ueoi,0,10,2021-02-01 09:19:57.000000
2021-01-23 20:00:00.000000,crrc,0,12,2021-02-01 09:19:57.000000
2021-01-21 21:00:00.000000,bolf,0,10,2021-02-01 09:19:57.000000
2021-01-29 21:00:00.000000,mrsw,0,16,2021-02-01 09:19:57.000000
2021-01-29 19:00:00.000000,csna,0,11,2021-02-01 09:19:57.000000
2021-01-27 20:00:00.000000,uaot,0,10,2021-02-01 09:19:57.000000
2021-01-26 19:00:00.000000,awyu,0,11,2021-02-01 09:19:57.000000
2021-01-25 23:00:00.000000,lmiw,0,7,2021-02-01 09:19:57.000000
2021-01-25 20:00:00.000000,eghz,0,10,2021-02-01 09:19:57.000000
2021-01-23 20:00:00.000000,rohm,0,9,2021-02-01 09:19:57.000000
2021-01-21 23:00:00.000000,onli,0,10,2021-02-01 09:19:57.000000
2021-01-29 19:00:00.000000,elsh,0,12,2021-02-01 09:19:57.000000
2021-01-28 22:00:00.000000,oqwq,0,14,2021-02-01 09:19:57.000000
2021-01-27 20:00:00.000000,eggh,0,15,2021-02-01 09:19:57.000000
2021-01-21 23:00:00.000000,owlu,0,14,2021-02-01 09:19:57.000000
2021-01-21 22:00:00.000000,felq,0,10,2021-02-01 09:19:57.000000
2021-01-31 23:00:00.000000,txry,7,7,2021-02-01 09:19:57.000000
2021-01-29 22:00:00.000000,ztmi,0,7,2021-02-01 09:19:57.000000
2021-01-27 22:00:00.000000,rscb,0,12,2021-02-01 09:19:57.000000
2021-01-24 19:00:00.000000,ihfh,0,15,2021-02-01 09:19:57.000000
2021-01-22 23:00:00.000000,bunz,0,14,2021-02-01 09:19:57.000000
2021-01-22 22:00:00.000000,avfk,0,12,2021-02-01 09:19:57.000000
2021-01-30 21:00:00.000000,fnar,0,8,2021-02-01 09:19:57.000000
2021-01-29 23:00:00.000000,uufa,0,7,2021-02-01 09:19:57.000000
2021-01-27 22:00:00.000000,rrtb,0,8,2021-02-01 09:19:57.000000
2021-01-27 21:00:00.000000,ejwi,0,11,2021-02-01 09:19:57.000000
2021-01-26 20:00:00.000000,pivk,0,10,2021-02-01 09:19:57.000000
2021-01-24 21:00:00.000000,aoqc,0,15,2021-02-01 09:19:57.000000
2021-01-24 20:00:00.000000,nzae,0,12,2021-02-01 09:19:57.000000
2021-01-22 23:00:00.000000,otdx,0,8,2021-02-01 09:19:57.000000
2021-01-27 20:00:00.000000,kgis,0,18,2021-02-01 09:19:57.000000
2021-01-25 22:00:00.000000,hgyu,0,13,2021-02-01 09:19:57.000000
2021-01-22 22:00:00.000000,jkio,0,11,2021-02-01 09:19:57.000000
2021-01-28 22:00:00.000000,gjph,0,10,2021-02-01 09:19:57.000000
2021-01-27 22:00:00.000000,usum,0,15,2021-02-01 09:19:57.000000
2021-01-24 22:00:00.000000,pifu,0,11,2021-02-01 09:19:57.000000
2021-01-23 22:00:00.000000,foqv,0,11,2021-02-01 09:19:57.000000
2021-01-22 22:00:00.000000,ypil,0,12,2021-02-01 09:19:57.000000
2021-01-31 20:00:00.000000,ljvg,0,13,2021-02-01 09:19:57.000000
2021-01-30 20:00:00.000000,rdgt,0,11,2021-02-01 09:19:57.000000
2021-01-28 19:00:00.000000,suxt,0,9,2021-02-01 09:19:57.000000
2021-01-27 23:00:00.000000,eata,0,14,2021-02-01 09:19:57.000000
2021-01-27 22:00:00.000000,njdu,0,7,2021-02-01 09:19:57.000000
2021-01-27 19:00:00.000000,lyrt,0,8,2021-02-01 09:19:57.000000
2021-01-26 20:00:00.000000,iebu,0,10,2021-02-01 09:19:57.000000
2021-01-26 19:00:00.000000,fzwo,0,13,2021-02-01 09:19:57.000000
2021-01-25 23:00:00.000000,nrac,0,8,2021-02-01 09:19:57.000000
2021-01-22 23:00:00.000000,svfc,0,9,2021-02-01 09:19:57.000000
2021-01-22 21:00:00.000000,nqfo,0,10,2021-02-01 09:19:57.000000
2021-01-21 22:00:00.000000,efqv,0,11,2021-02-01 09:19:57.000000
2021-01-30 19:00:00.000000,omrk,0,13,2021-02-01 09:19:57.000000
2021-01-29 22:00:00.000000,ueay,0,15,2021-02-01 09:19:57.000000
2021-01-28 22:00:00.000000,ccyg,0,22,2021-02-01 09:19:57.000000
2021-01-22 21:00:00.000000,llpf,0,10,2021-02-01 09:19:57.000000
2021-01-22 19:00:00.000000,xyet,0,12,2021-02-01 09:19:57.000000
2021-01-31 23:00:00.000000,blsf,14,14,2021-02-01 09:19:57.000000
2021-01-26 21:00:00.000000,muly,0,6,2021-02-01 09:19:57.000000
2021-01-24 23:00:00.000000,qndq,0,10,2021-02-01 09:19:57.000000
2021-01-29 23:00:00.000000,ubqv,0,10,2021-02-01 09:19:57.000000
2021-01-26 22:00:00.000000,eixq,0,5,2021-02-01 09:19:57.000000
2021-01-26 20:00:00.000000,zpwf,0,6,2021-02-01 09:19:57.000000
2021-01-24 20:00:00.000000,psej,0,9,2021-02-01 09:19:57.000000
2021-01-22 23:00:00.000000,pnhm,0,7,2021-02-01 09:19:57.000000
2021-01-22 21:00:00.000000,zokv,0,12,2021-02-01 09:19:57.000000
2021-01-21 23:00:00.000000,wamw,0,12,2021-02-01 09:19:57.000000
2021-01-31 20:00:00.000000,ulnk,0,10,2021-02-01 09:19:57.000000
2021-01-30 21:00:00.000000,smft,0,21,2021-02-01 09:19:57.000000
2021-01-29 20:00:00.000000,fldg,0,10,2021-02-01 09:19:57.000000
2021-01-22 21:00:00.000000,aexd,0,7,2021-02-01 09:19:57.000000
2021-01-22 19:00:00.000000,pzad,0,7,2021-02-01 09:19:57.000000
2021-01-21 19:00:00.000000,rgyk,0,4,2021-02-01 09:19:57.000000
2021-01-31 23:00:00.000000,qkop,11,11,2021-02-01 09:19:57.000000
2021-01-31 19:00:00.000000,fyfn,0,11,2021-02-01 09:19:57.000000
2021-01-30 23:00:00.000000,umyc,0,7,2021-02-01 09:19:57.000000
2021-01-28 23:00:00.000000,bhse,0,5,2021-02-01 09:19:57.000000
2021-01-27 19:00:00.000000,jroc,0,7,2021-02-01 09:19:57.000000
2021-01-26 20:00:00.000000,ifok,0,15,2021-02-01 09:19:57.000000
2021-01-24 22:00:00.000000,lkky,0,10,2021-02-01 09:19:57.000000
2021-01-24 21:00:00.000000,raqc,0,10,2021-02-01 09:19:57.000000
2021-01-23 19:00:00.000000,qrxg,0,7,2021-02-01 09:19:57.000000
2021-01-22 22:00:00.000000,muto,0,16,2021-02-01 09:19:57.000000
2021-01-31 20:00:00.000000,fwut,0,5,2021-02-01 09:19:57.000000
2021-01-29 21:00:00.000000,zvct,0,9,2021-02-01 09:19:57.000000
2021-01-28 20:00:00.000000,akrs,0,9,2021-02-01 09:19:57.000000
2021-01-27 21:00:00.000000,xyhj,0,12,2021-02-01 09:19:57.000000
2021-01-27 20:00:00.000000,lcbi,0,6,2021-02-01 09:19:57.000000
2021-01-26 23:00:00.000000,rztn,0,5,2021-02-01 09:19:57.000000
2021-01-26 22:00:00.000000,baim,0,10,2021-02-01 09:19:57.000000
2021-01-25 21:00:00.000000,yojh,0,8,2021-02-01 09:19:57.000000
2021-01-25 19:00:00.000000,sykz,0,15,2021-02-01 09:19:57.000000
2021-01-24 23:00:00.000000,tlir,0,9,2021-02-01 09:19:57.000000
2021-01-23 20:00:00.000000,xmik,0,8,2021-02-01 09:19:57.000000
2021-01-21 23:00:00.000000,agjg,0,11,2021-02-01 09:19:57.000000
2021-01-31 23:00:00.000000,hqil,12,12,2021-02-01 09:19:57.000000
2021-01-27 20:00:00.000000,baqn,0,11,2021-02-01 09:19:57.000000
2021-01-25 19:00:00.000000,zimg,0,6,2021-02-01 09:19:57.000000
2021-01-23 19:00:00.000000,wgrr,0,8,2021-02-01 09:19:57.000000
